No,sentence,info__snippets,info__target,info_sentiment_score,info_aspects,preprocessed_sentence,numerical_info,encoded_values,sentiment_scores_for_numerical_encoded_values,trend,embedded_aspect,predicted_sentiment_probability_after_attention_mechanism
1.0,Royal Mail chairman Donald Brydon set to step down,['set to step down'],Royal Mail,-0.374,['Corporate/Appointment'],royal mail chairman donald brydon set step,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Royal Mail,[0.27385473 0.35181287 0.3743324 ]
7.0,Stakes High for AstraZeneca Heart Drug Facing Tough Competition,['Facing Tough Competition'],AstraZeneca,-0.24,['Corporate/Risks'],stake high astrazeneca heart drug face tough competition,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],increase,high AstraZeneca,[0.31220025 0.3440081  0.34379163]
8.0,UPDATE 1-Dairy Crest loses a third of Morrisons milk contract,['Crest loses a third of Morrisons milk contract'],Morrisons,-0.161,['Corporate/Sales/Failed Contract Discussion'],update 1 dairy crest lose third morrison milk contract,"[{'value': '1', 'type': 'cardinal', 'aspect': 'crest', 'dependency_type': 'nummod'}, {'value': 'third', 'type': 'cardinal', 'aspect': 'contract', 'dependency_type': 'amod'}]","tensor([[ 0.0584, -0.0858, -0.0869,  0.0923, -0.1185, -0.1205]],
       grad_fn=<CatBackward0>)",[[ 0.05843232 -0.08583678 -0.08687651  0.09229714 -0.11852994 -0.12051044]],decrease,contract Morrisons,[0.3310783  0.34502226 0.32389942]
22.0,Insight hires Aviva's David Hillier for multi-asset team,['hires Aviva's David Hillier for multi-asset team'],Insight,0.137,['Corporate/Appointment/Executive Appointment'],insight hire aviva david hillier multi asset team,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Insight,[0.32109642 0.31461018 0.36429343]
30.0,Primark racks up a happy Christmas after strong sales,['after strong sales'],Primark,0.704,['Corporate/Sales'],primark rack happy christmas strong sale,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],increase,strong Primark,[0.24587269 0.42583296 0.32829437]
31.0,UPDATE 1-Pearson expects to grow this year after solid end to 2014,['to grow this year after solid end to 2014'],Pearson,0.446,['Stock/Fundamentals'],update 1 pearson expect grow year solid end 2014,"[{'value': '1', 'type': 'cardinal', 'aspect': 'pearson', 'dependency_type': 'nummod'}, {'value': '2014', 'type': 'cardinal', 'aspect': 'end', 'dependency_type': 'nummod'}]","tensor([[ 5.8432e-02, -8.5837e-02, -8.6877e-02, -7.4277e+01,  1.2383e+02,
         -4.1857e+01]], grad_fn=<CatBackward0>)","[[ 5.84323183e-02 -8.58367756e-02 -8.68765116e-02 -7.42767944e+01
   1.23826485e+02 -4.18569908e+01]]",,Pearson,[0.37532374 0.35006976 0.2746065 ]
32.0,Tesco sells Blinkbox and broadband service to TalkTalk,['sells Blinkbox and broadband service to'],TalkTalk,0.136,['Corporate/Sales/Deal'],tesco sell blinkbox broadband service talktalk,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,TalkTalk,[0.42410627 0.2776613  0.2982325 ]
,,['sells Blinkbox and broadband service to'],Tesco,0.192,['Corporate/Sales/Deal'],,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Tesco,[0.27921432 0.42638877 0.29439688]
36.0,Unilever profit rises despite sales slump in China,['despite sales slump'],Unilever,0.213,['Corporate/Sales'],unilever profit rise despite sale slump china,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],increase,rise Unilever,[0.37633654 0.2840652  0.33959824]
38.0,Tesco leads leap in FTSE 100; Marks & Spencer drops,['Tesco leads leap in FTSE 100; '],Tesco,0.389,['Stock/Technical Analysis/Trend/Trending up'],tesco lead leap ftse 100 mark spencer drop,"[{'value': '100', 'type': 'cardinal', 'aspect': 'spencer', 'dependency_type': 'nummod'}]","tensor([[-3.5877,  6.0125, -2.1140]], grad_fn=<CatBackward0>)",[[-3.587666   6.012506  -2.1139667]],decrease,drop Tesco,[0.29828566 0.34236106 0.3593532 ]
40.0,Royal Dutch Shell profit rises; dividend up 4%,['dividend up 4%'],Royal Dutch Shell,0.65,['Corporate/Dividend Policy'],royal dutch shell profit rise dividend 4,"[{'value': '4', 'type': 'cardinal', 'aspect': 'dividend', 'dependency_type': 'nummod'}]","tensor([[-0.0611,  0.0966, -0.1468]], grad_fn=<CatBackward0>)",[[-0.06113416  0.09656806 -0.14681245]],increase,rise Royal Dutch Shell,[0.34320274 0.3551566  0.30164066]
47.0,Morning Agenda: Shire's Deal for NPS,['Shire's Deal for NPS'],Shire,0.195,['Corporate/Sales/Deal'],morning agenda shire deal nps,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Shire,[0.34874812 0.29952103 0.35173085]
48.0,Carnival Corporation and China Merchants Group Sign Memo of Understanding ...,['Group Sign Memo of Understanding ..'],China Merchants Group,0.119,['Corporate/Strategy/Company Agreement'],carnival corporation china merchant group sign memo understanding,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,China Merchants Group,[0.33650687 0.35473162 0.30876157]
49.0,Teva: FDA Approves Generic Version of AstraZeneca Heartburn Drug,['FDA Approves'],AstraZeneca,0.242,['Corporate/Regulatory'],teva fda approve generic version astrazeneca heartburn drug,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,AstraZeneca,[0.35468325 0.316411   0.32890567]
,,['FDA Approves Generic Versio'],Teva,0.476,['Corporate/Regulatory'],,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Teva,[0.32489893 0.3279881  0.34711298]
52.0,Passengers rise at EasyJet and Aer Lingus,['rise at EasyJet and Aer Lingus'],EasyJet,0.329,['Corporate/Sales/Sales'],passenger rise easyjet aer lingus,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],increase,rise EasyJet,[0.33053648 0.3588191  0.31064442]
55.0,Tesco Abandons Video-Streaming Ambitions in Blinkbox Sale,['Video-Streaming Ambitions'],Blinkbox,-0.195,['Corporate/Strategy'],tesco abandon video stream ambition blinkbox sale,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Blinkbox,[0.36490518 0.34727737 0.2878175 ]
,,['Tesco Abandons Video-Streaming Ambitions '],Tesco,-0.335,['Corporate/Strategy'],,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Tesco,[0.34371603 0.36854455 0.2877395 ]
56.0,"FDA approves NPS drug, in move validating Shire takeover deal",['validating Shire takeover deal'],Shire,0.332,['Corporate/M&A/Proposed Merger'],fda approve nps drug validate shire takeover deal,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Shire,[0.39317238 0.32329303 0.28353456]
60.0,Ocwen Reaches Settlement With California Regulator,['Settlement With California Regulator'],Ocwen,0.171,['Corporate/Legal/Settlement'],ocwen reach settlement california regulator,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Ocwen,[0.33526605 0.3229595  0.34177452]
67.0,Morrisons faces festive sales test,['festive sales test'],Morrisons,-0.113,['Corporate/Sales'],morrison face festive sale test,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Morrisons,[0.3619812 0.2586385 0.3793803]
69.0,Tesco share price dips as Blinkbox Books closes ending supermarket's digital ...,['share price dips'],Blinkbox,-0.357,['Stock/Price Action'],tesco share price dip blinkbox book close end supermarket digital,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Blinkbox,[0.3179862 0.3532322 0.3287816]
,,['Tesco share price dips'],Tesco,-0.389,['Stock/Price Action/Volatility'],,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Tesco,[0.28042385 0.37601557 0.34356064]
